Anio,Cveestado,Cveespecie,Nomespecie,Precio,Nomestado,Cveproducto,Nomproducto,Valor,Asacrificado,Volumen
2009.6871508379888,1.0,4.0,Bovino,43.623519553072626,Aguascalientes,1,Carne,123010.79383798878,10838.329608938548,3028.1738379888275
2007.2,2.0,4.0,Bovino,32.21484210526315,Baja California,1,Carne,771407.8870631575,66774.8947368421,23000.372210526315
2007.2,3.0,4.0,Bovino,35.391789473684206,Baja California Sur,1,Carne,53272.70143157895,7291.726315789474,2130.2967789473687
2010.0676328502416,4.0,4.0,Bovino,36.39376811594204,Campeche,1,Carne,80895.70703381639,11056.048309178745,3446.4815024154595
2012.2159227985526,7.0,4.0,Bovino,37.56225572979494,Chiapas,1,Carne,49447.74312243669,6994.829312424608,2201.180713510253
2011.9846468781986,8.0,4.0,Bovino,49.0344012282497,Chihuahua,1,Carne,81889.17606653023,9465.312180143295,2827.3714667349027
2018.5,9.0,4.0,Bovino,68.11214285714286,Ciudad de México,1,Carne,5634.928642857143,365.2857142857143,81.86392857142857
2017.0,9.0,4.0,Bovino,67.53285714285714,Ciudad de México / D.F.,1,Carne,5774.187714285714,380.42857142857144,84.61714285714285
2011.5960502693,5.0,4.0,Bovino,45.25863554757631,Coahuila,1,Carne,73143.13968940754,10197.791741472172,2825.414283662478
2009.448484848485,6.0,4.0,Bovino,44.88787878787879,Colima,1,Carne,61636.86371515151,6375.2,2259.635381818182
2006.4313725490197,9.0,4.0,Bovino,30.753039215686282,Distrito Federal,1,Carne,5788.347294117646,781.3235294117648,484.2942254901961
2011.6182136602451,10.0,4.0,Bovino,45.17269702276706,Durango,1,Carne,108054.1798441331,16197.77408056042,3951.9523975481616
2011.7473841554558,11.0,4.0,Bovino,46.17780269058295,Guanajuato,1,Carne,62982.17332884905,6698.45889387145,2194.673100149477
2012.0865800865802,12.0,4.0,Bovino,43.38583549783548,Guerrero,1,Carne,30525.614422510822,4059.193939393939,1231.2614606060604
2012.0807660283097,13.0,4.0,Bovino,48.46378018318061,Hidalgo,1,Carne,24549.303588676106,2598.5303913405496,882.3545828476271
2012.2117916428163,14.0,4.0,Bovino,48.08966227819105,Jalisco,1,Carne,108865.24414195762,11319.022323983972,3789.361386376646
2012.2016129032259,16.0,4.0,Bovino,42.059497518610506,Michoacán,1,Carne,37597.36793796524,4704.188585607941,1375.6437413151366
2011.4661190965091,17.0,4.0,Bovino,42.86677618069818,Morelos,1,Carne,10367.212574948671,1196.4517453798767,428.43347227926085
2012.209463358338,15.0,4.0,Bovino,47.701517599538384,México,1,Carne,23172.067097518753,2414.9186381996537,859.0515147143681
2010.849180327869,18.0,4.0,Bovino,46.04695081967211,Nayarit,1,Carne,62309.87616721311,8465.088524590165,2575.319095081967
2011.771875,19.0,4.0,Bovino,47.430906249999985,Nuevo León,1,Carne,67329.86908281253,7058.2484375,2134.8969890625
2015.3055872291905,20.0,4.0,Bovino,50.002570125427575,Oaxaca,1,Carne,10723.521990649928,1232.831242873432,371.0073343215508
2012.3322443645868,21.0,4.0,Bovino,36.965001633453106,Puebla,1,Carne,9320.612425024518,1140.4629206141783,418.16371316563215
2010.6823104693142,22.0,4.0,Bovino,43.78202166064983,Querétaro,1,Carne,97148.13049819495,9547.16606498195,3041.672061371841
2009.6305732484077,23.0,4.0,Bovino,46.834904458598714,Quintana Roo,1,Carne,24701.403828025483,2841.955414012739,785.4144649681529
2011.9083431257345,24.0,4.0,Bovino,49.98633372502936,San Luis Potosí,1,Carne,76082.92410928322,6332.292596944771,2091.8102808460635
2010.9116719242902,25.0,4.0,Bovino,42.03561514195582,Sinaloa,1,Carne,234071.82823343837,24591.58359621451,7653.863943217666
2012.044090056285,26.0,4.0,Bovino,57.8631519699813,Sonora,1,Carne,75254.62944559097,8927.725140712946,2599.729169793621
2010.5855513307986,27.0,4.0,Bovino,41.1831939163498,Tabasco,1,Carne,217551.5126920153,25457.733840304183,9299.348186311787
2011.6969696969697,28.0,4.0,Bovino,44.30256778309405,Tamaulipas,1,Carne,76885.88557416275,9565.939393939394,3265.5160701754385
2011.9179190751445,29.0,4.0,Bovino,44.529722543352555,Tlaxcala,1,Carne,10853.819944508674,1311.206936416185,323.9540323699422
2012.3246307110958,30.0,4.0,Bovino,44.39171762280999,Veracruz,1,Carne,72482.08725317768,8030.846444520783,2746.2542810030923
2012.1663353214049,31.0,4.0,Bovino,44.79204108681247,Yucatán,1,Carne,17933.448108681256,2268.861497680583,740.6155931080185
2011.9055023923445,32.0,4.0,Bovino,46.09240430622009,Zacatecas,1,Carne,50592.48469976074,6200.093301435407,1832.4935622009566
